key,api,level,flag,
1,Landroid/app/ActivityManager;->forceStopPackage,2,1,
2,Landroid/app/ActivityManager;->killBackgroundProcesses,2,1,
3,Landroid/app/ActivityThread;->handleReceiver,1,1,
4,Landroid/app/ApplicationPackageManager;->deletePackage,0,1,
5,Landroid/app/ApplicationPackageManager;->getInstalledApplications,0,1,
6,Landroid/app/ApplicationPackageManager;->getInstalledPackages,0,1,
7,Landroid/app/ApplicationPackageManager;->installPackage,0,1,
8,Landroid/app/ApplicationPackageManager;->setComponentEnabledSetting,3,1,
9,Landroid/app/ContextImpl;->registerReceiver,1,1,
10,Landroid/app/Dialog;->setContentView,1,1,
11,Landroid/app/NotificationManager;->notify,2,1,
12,Landroid/bluetooth/BluetoothAdapter;->enable,1,1,
13,Landroid/bluetooth/BluetoothAdapter;->getAddress,1,1,
14,Landroid/bluetooth/BluetoothSocket;->connect,1,1,
15,Landroid/content/BroadcastReceiver;->abortBroadcast,3,1,
16,Landroid/content/ContentResolver;->delete,1,1,
17,Landroid/content/ContentResolver;->insert,1,1,
18,Landroid/content/ContentResolver;->query,1,1,
19,Landroid/content/ContentResolver;->update,1,1,
20,Landroid/content/ContextWrapper;->sendBroadcast,0,1,
21,Landroid/content/res/AssetManager;->open,1,1,
22,Landroid/hardware/Camera;->open,3,1,
23,Landroid/hardware/Camera;->setOneShotPreviewCallback,3,1,
24,Landroid/hardware/Camera;->setPreviewCallback,3,1,
25,Landroid/hardware/Camera;->setPreviewCallbackWithBuffer,3,1,
26,Landroid/hardware/Camera;->takePicture,3,1,
27,Landroid/location/LocationManager;->getLastKnownLocation,0,1,
28,Landroid/media/AudioRecord;->startRecording,3,1,
29,Landroid/media/MediaRecorder;->setOutputFile,3,1,
30,Landroid/net/ConnectivityManager;->getActiveNetworkInfo,0,1,
31,Landroid/net/ConnectivityManager;->getAllNetworkInfo,0,1,
32,Landroid/net/ConnectivityManager;->getNetworkInfo,0,1,
33,Landroid/net/ConnectivityManager;->getNetworkPreference,0,1,
34,Landroid/net/ConnectivityManager;->setMobileDataEnabled,2,1,
35,Landroid/net/wifi/WifiManager;->getWifiState,0,1,
36,Landroid/net/wifi/WifiManager;->setWifiEnabled,2,1,
37,Landroid/os/PowerManager;->reboot,2,1,
38,Landroid/os/Process;->killProcess,2,1,
39,Landroid/telephony/SmsMessage;->getDisplayMessageBody,2,1,
40,Landroid/telephony/SmsMessage;->getDisplayOriginatingAddress,2,1,
41,Landroid/telephony/SmsMessage;->getEmailBody,2,1,
42,Landroid/telephony/SmsMessage;->getEmailFrom,2,1,
43,Landroid/telephony/SmsMessage;->getMessageBody,2,1,
44,Landroid/telephony/SmsMessage;->getOriginatingAddress,2,1,
45,Landroid/telephony/TelephonyManager;->getCellLocation,0,1,
46,Landroid/telephony/TelephonyManager;->getDeviceId,0,1,
47,Landroid/telephony/TelephonyManager;->getLine1Number,0,1,
48,Landroid/telephony/TelephonyManager;->getNetworkCountryIso,0,1,
49,Landroid/telephony/TelephonyManager;->getNetworkOperator,0,1,
50,Landroid/telephony/TelephonyManager;->getSimCountryIso,0,1,
51,Landroid/telephony/TelephonyManager;->getSimSerialNumber,0,1,
52,Landroid/telephony/TelephonyManager;->getVoiceMailNumber,0,1,
53,Landroid/webkit/WebView;->loadUrl,1,1,
54,Ldalvik/system/BaseDexClassLoader;-><init>,2,1,
55,Ljava/lang/ProcessBuilder;->command,2,1,
56,Ljava/lang/ProcessBuilder;->start,2,1,
57,Ljava/lang/Runtime;->exec,2,1,
58,Ljava/lang/Runtime;->load,2,1,
59,Ljava/lang/Runtime;->loadLibrary,2,1,
60,Ljava/lang/String;-><inti>,0,1,
61,Ljava/lang/String;->contains,0,1,
62,Ljava/net/InetAddress;->getAllByName,0,1,
63,Ljava/net/InetAddress;->getByAddress,0,1,
64,Ljava/net/InetAddress;->getByName,0,1,
65,Ljava/net/NetworkInterface;->getByInetAddress,0,1,
66,Ljava/net/NetworkInterface;->getByName,0,1,
67,Ljava/net/NetworkInterface;->getHardwareAddress,0,1,
68,Ljava/net/NetworkInterface;->getInetAddresses,0,1,
69,Ljava/net/NetworkInterface;->getInterfaceAddresses,0,1,
70,Ljava/net/NetworkInterface;->getNetworkInterfaces,0,1,
71,Ljava/net/URL;->openConnection,0,1,
72,Lorg/apache/http/impl/client/AbstractHttpClient;->execute,0,1,
